"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\aps\src\App.js", "JavaScript", 126, 0, 0, 0, 8, 134
"c:\Users\Lenovo\Desktop\aps\src\components\Error.js", "JavaScript", 15, 0, 0, 0, 2, 17
"c:\Users\Lenovo\Desktop\aps\src\components\Error.module.css", "CSS", 0, 0, 25, 0, 0, 25
"c:\Users\Lenovo\Desktop\aps\src\components\MainPage\MainPage.js", "JavaScript", 12, 0, 0, 0, 3, 15
"c:\Users\Lenovo\Desktop\aps\src\components\MainPage\MainPage.module.css", "CSS", 0, 0, 40, 0, 4, 44
"c:\Users\Lenovo\Desktop\aps\src\components\Notifications\Notifications.js", "JavaScript", 95, 0, 0, 0, 3, 98
"c:\Users\Lenovo\Desktop\aps\src\components\Notifications\Notifications.module.css", "CSS", 0, 0, 173, 0, 2, 175
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddDepartment.js", "JavaScript", 167, 0, 0, 0, 8, 175
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddDepartment.module.css", "CSS", 0, 0, 150, 0, 12, 162
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\CollegeProfile.js", "JavaScript", 257, 0, 0, 0, 2, 259
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\CollegeProfile.module.css", "CSS", 0, 0, 386, 0, 10, 396
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\AddLevel.js", "JavaScript", 104, 0, 0, 1, 7, 112
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\AddLevel.module.css", "CSS", 0, 0, 151, 0, 12, 163
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\AddModule.js", "JavaScript", 174, 0, 0, 1, 6, 181
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\AddModule.module.css", "CSS", 0, 0, 152, 0, 12, 164
