"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\aps\src\App.js", "JavaScript", 49, 0, 0, 0, 2, 51
"c:\Users\Lenovo\Desktop\aps\src\components\MainPage\MainPage.js", "JavaScript", -4, 0, 0, 0, 1, -3
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddStudent\AddStudent.css", "CSS", 0, -10, 0, 0, 0, -10
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\AddStudent\AddStudent.jsx", "JavaScript JSX", 0, 0, -1, 0, 0, -1
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\CollegeProfile.js", "JavaScript", 69, 0, 0, 2, 1, 72
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\CollegeProfile.module.css", "CSS", 0, 13, 0, 0, 1, 14
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\StudentsTable\EditStudent.css", "CSS", 0, 4, 0, 0, 0, 4
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\CollegeProfile\StudentsTable\StudentsTable.jsx", "JavaScript JSX", 0, 0, 23, 0, -1, 22
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\AddPost.js", "JavaScript", 88, 0, 0, 0, 1, 89
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Classrooms\AddClass.js", "JavaScript", 12, 0, 0, 0, 0, 12
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Classrooms\ClassroomsTable.js", "JavaScript", -1, 0, 0, 0, 1, 0
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Classrooms\ClassroomsTable.module.css", "CSS", 0, -21, 0, 0, 1, -20
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\DepartmentProfile.js", "JavaScript", 68, 0, 0, 2, 1, 71
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\DepartmentProfile.module.css", "CSS", 0, 4, 0, 0, 1, 5
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Divisions\AddDivision.js", "JavaScript", 56, 0, 0, 0, 1, 57
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Divisions\AddStudentsDivision.js", "JavaScript", 97, 0, 0, 0, 1, 98
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Divisions\Divsion.js", "JavaScript", 315, 0, 0, 1, 25, 341
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Exam\AddCommite.js", "JavaScript", 28, 0, 0, 0, 1, 29
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Exam\AddExam.js", "JavaScript", 16, 0, 0, 0, 1, 17
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Exam\Exams.js", "JavaScript", 94, 0, 0, 0, 13, 107
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Modules.module.css", "CSS", 0, 0, 0, 0, -1, -1
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Proffessor\AddProffessor.js", "JavaScript", 9, 0, 0, -5, -1, 3
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Proffessor\AddProffessor.module.css", "CSS", 0, 11, 0, 0, -1, 10
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Proffessor\EditProfessor.js", "JavaScript", 342, 0, 0, 13, 27, 382
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Proffessor\PrefessorTable.js", "JavaScript", 33, 0, 0, 0, -2, 31
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\AddProgram.js", "JavaScript", 43, 0, 0, 0, -1, 42
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\AddProgram.module.css", "CSS", 0, 4, 0, 0, 0, 4
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\PreviewBachelor.js", "JavaScript", 5, 0, 0, 0, 1, 6
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\PreviewBachelor.module.css", "CSS", 0, 1, 0, 0, -1, 0
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\ProgramModules\ProgramModulesTable.js", "JavaScript", 184, 0, 0, 1, 7, 192
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\Speciality.js", "JavaScript", 25, 0, 0, 0, 3, 28
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\AddProgramModule.js", "JavaScript", 15, 0, 0, 0, -1, 14
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\AddProgramModule.module.css", "CSS", 0, -26, 0, 0, 3, -23
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\EditProgramModule.js", "JavaScript", 232, 0, 0, 1, 3, 236
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\ModuleAssesment.js", "JavaScript", 12, 0, 0, 0, 0, 12
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\ModuleInfo.js", "JavaScript", 5, 0, 0, 0, 0, 5
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\StudentsModuleRegisteration.js", "JavaScript", 295, 0, 0, 1, 16, 312
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\schedule\AddScheduling.js", "JavaScript", 25, 0, 0, 0, 0, 25
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\schedule\Schedule.js", "JavaScript", 18, 0, 0, 0, 4, 22
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\schedule\ScheduleTable.js", "JavaScript", 1, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\AddAssesments.js", "JavaScript", 250, 0, 0, 0, 6, 256
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\AssesmentGradesTable.js", "JavaScript", 203, 0, 0, 0, 23, 226
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\Assesments.js", "JavaScript", 167, 0, 0, 0, 5, 172
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\Home\ProfessorHome.js", "JavaScript", 78, 0, 0, 1, 2, 81
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\Modules\ModuleStudents.js", "JavaScript", 127, 0, 0, 0, 9, 136
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\Modules\ProfessorModules.js", "JavaScript", 144, 0, 0, 2, 2, 148
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\Modules\StudentGrades.js", "JavaScript", 128, 0, 0, 0, 6, 134
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\ProfessorProfile\StudentsAttendance.js", "JavaScript", 362, 0, 0, 1, 29, 392
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\EditProfile.js", "JavaScript", 225, 0, 0, 1, 4, 230
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\EditProfile.module.css", "CSS", 0, 73, 0, 0, 3, 76
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Home\StudentCalendar.js", "JavaScript", -1, 0, 0, 0, 0, -1
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\ModulesRegisteration.js", "JavaScript", 319, 0, 0, 2, 10, 331
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Modules\ModuleAttendance.js", "JavaScript", 107, 0, 0, 0, 6, 113
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\Modules\ViewModule.js", "JavaScript", 2, 0, 0, 0, -1, 1
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\PresenceTable.js", "JavaScript", 65, 0, 0, 0, 3, 68
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\StudentPresence.js", "JavaScript", 243, 0, 0, 0, 7, 250
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\StudentProfile\StudentProfile.js", "JavaScript", 118, 0, 0, 0, 5, 123
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\UniversityProfile\AboutComponent.js", "JavaScript", 18, 0, 0, 2, 0, 20
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\UniversityProfile\UniversityProfile.js", "JavaScript", 1, 0, 0, 2, 0, 3
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\UniversityProfile\UniversityProfile.module.css", "CSS", 0, -3, 0, 0, 0, -3
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\library\Library.js", "JavaScript", 145, 0, 0, 1, 2, 148
"c:\Users\Lenovo\Desktop\aps\src\components\Root.js", "JavaScript", 31, 0, 0, 0, 3, 34
"c:\Users\Lenovo\Desktop\aps\src\components\navbar\Navbar.js", "JavaScript", 23, 0, 0, 0, 0, 23
"c:\Users\Lenovo\Desktop\aps\src\components\navbar\Navbar.module.css", "CSS", 0, 7, 0, 0, 0, 7
"c:\Users\Lenovo\Desktop\aps\src\components\universityAccounts\UniversityAccounts.js", "JavaScript", -1, 0, 0, 0, 0, -1
"c:\Users\Lenovo\Desktop\aps\src\store\auth-slice.js", "JavaScript", 79, 0, 0, 0, 2, 81
"c:\Users\Lenovo\Desktop\aps\src\store\getandset.js", "JavaScript", 138, 0, 0, 0, 11, 149
"c:\Users\Lenovo\Desktop\aps\src\store\index.js", "JavaScript", 2, 0, 0, 0, 0, 2
"c:\Users\Lenovo\Desktop\aps\src\store\message-slice.js", "JavaScript", 30, 0, 0, 0, 1, 31
"Total", "-", 5134, 57, 22, 28, 245, 5486
