"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\aps\src\App.js", "JavaScript", 10, 0, 0, 0, 0, 10
"c:\Users\Lenovo\Desktop\aps\src\components\Notifications\Notifications.js", "JavaScript", 9, 0, 0, 0, 5, 14
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\DepartmentProfile.js", "JavaScript", 1, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Exam\AddExam.js", "JavaScript", 18, 0, 0, 0, -2, 16
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Exam\CommitteMembers.js", "JavaScript", 31, 0, 0, 0, 0, 31
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Exam\ExamComitte.js", "JavaScript", 6, 0, 0, 0, -1, 5
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Exam\Exams.js", "JavaScript", 12, 0, 0, 0, -1, 11
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Exam\Grades.js", "JavaScript", 111, 0, 0, 3, 4, 118
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Modules_s\AddNewModule.js", "JavaScript", -4, 0, 0, 4, 0, 0
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Modules_s\Options.module.css", "CSS", 0, 0, 36, 0, 2, 38
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\AddProgram.module.css", "CSS", 0, 0, 2, 0, 0, 2
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\AddProgramModule.js", "JavaScript", 117, 0, 0, 0, 3, 120
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\AddProgramModule.module.css", "CSS", 0, 0, 147, 0, 7, 154
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\ModuleInfo.js", "JavaScript", 323, 0, 0, 2, 6, 331
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\ModuleInfo.module.css", "CSS", 0, 0, 190, 0, 16, 206
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\AddBook.js", "JavaScript", 2, 0, 0, 0, 0, 2
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\AddProgramModule.js", "JavaScript", 32, 0, 0, 0, 2, 34
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\EditProgramModule.js", "JavaScript", 38, 0, 0, 0, 1, 39
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\ModuleAssesment.js", "JavaScript", 1, 0, 0, 0, -2, -1
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\StudentsModuleRegisteration.js", "JavaScript", 37, 0, 0, 0, 2, 39
